leg_id,datetime,pivot_side,structure_label,pivot_price,price_change,pct_change,swing_direction,threshold_pct
250,2024-12-04 13:03:00,Low,HL,68.76,-0.11999999999999034,-0.0017421602787455193,Down,0.001
251,2024-12-04 13:07:00,High,LH,68.83,0.06999999999999318,0.0010180337405467643,Up,0.001
252,2024-12-04 13:16:00,Low,LL,68.64,-0.18999999999999773,-0.0027604242336189966,Down,0.001
253,2024-12-04 13:23:00,High,HH,68.83,0.18999999999999773,0.0027680652680652784,Up,0.001
254,2024-12-04 13:34:00,Low,LL,68.59,-0.23999999999999488,-0.0034868516635186975,Down,0.001
255,2024-12-04 13:36:00,High,LH,68.72,0.12999999999999545,0.0018953200174951501,Up,0.001
256,2024-12-04 13:46:00,Low,LL,68.57,-0.15000000000000568,-0.0021827706635623167,Down,0.001
257,2024-12-04 13:47:00,High,LH,68.64,0.07000000000000739,0.0010208546011376551,Up,0.001
258,2024-12-04 13:51:00,Low,HL,68.57,-0.07000000000000739,-0.0010198135198136171,Down,0.001
259,2024-12-04 14:18:00,High,HH,68.9,0.3300000000000125,0.00481260026250574,Up,0.001
260,2024-12-04 14:28:00,Low,LL,68.51,-0.39000000000000057,-0.005660377358490565,Down,0.001
261,2024-12-04 15:20:00,High,HH,68.94,0.4299999999999926,0.006276455991825802,Up,0.001
262,2024-12-04 16:31:00,Low,HL,68.63,-0.3100000000000023,-0.004496663765593323,Down,0.001
263,2024-12-04 16:59:00,High,LH,68.73,0.10000000000000853,0.0014570887367042484,Up,0.001
264,2024-12-04 18:03:00,Low,HL,68.66,-0.07000000000000739,-0.0010184781027209322,Down,0.001
265,2024-12-04 19:40:00,High,HH,68.8,0.14000000000000057,0.002039032915817085,Up,0.001
266,2024-12-04 20:28:00,Low,LL,68.62,-0.1799999999999926,-0.0026162790697673577,Down,0.001
267,2024-12-04 21:00:00,High,LH,68.7,0.0799999999999983,0.0011658408627222006,Up,0.001
268,2024-12-04 21:05:00,Low,LL,68.59,-0.10999999999999943,-0.001601164483260531,Down,0.001
269,2024-12-04 21:09:00,High,LH,68.66,0.06999999999999318,0.0010205569324972519,Up,0.001
