trade_id,transition_type,direction,from_leg_id,to_leg_id,target_leg_id,entry_time,entry_price,stop_price,stop_distance,target_time,target_price,exit_time,exit_price,exit_reason,holding_minutes,lvn_price_center,lvn_price_min,lvn_price_max,risk_eur,units,pnl_eur,balance_before_trade,balance_after_trade
132,HL_to_HH,short,520,521,533,2024-12-09 13:09:00,68.6,68.51,0.0899999999999892,2024-12-09 20:21:00,68.36,2024-12-09 13:59:00,68.51,stop,50.0,68.6096,68.5928,68.6264,79.42099858431813,882.4555398258628,79.42099858431813,10000.0,12137.321140152506
133,LH_to_LL,long,523,524,526,2024-12-09 14:06:00,68.47,68.6,0.1299999999999954,2024-12-09 14:29:00,68.35,2024-12-09 14:29:00,68.35,target,23.0,68.44160000000001,68.4248,68.45840000000001,78.62678859847495,604.8214507575208,-72.57857409090524,10000.0,12064.7425660616
134,LH_to_LL,long,525,526,528,2024-12-09 14:31:00,68.45,68.55,0.0999999999999943,2024-12-09 14:55:00,68.23,2024-12-09 14:55:00,68.23,target,24.0,68.44160000000001,68.4248,68.45840000000001,79.352574339384,793.5257433938851,-174.57566354665386,10000.0,11890.166902514948
135,LH_to_LL,long,527,528,530,2024-12-09 14:56:00,68.25,68.46,0.2099999999999937,2024-12-09 16:19:00,68.11,2024-12-09 16:19:00,68.11,target,83.0,68.24000000000001,68.2232,68.25680000000001,81.09833097485054,386.1825284516807,-54.065553983235525,10000.0,11836.101348531713
136,LH_to_LL,long,529,530,536,2024-12-09 16:22:00,68.13,68.31,0.1800000000000068,2024-12-09 21:04:00,68.17,2024-12-09 20:03:00,68.31,stop,221.0,68.1392,68.1224,68.156,81.6389865146829,453.5499250815545,81.6389865146829,10000.0,11917.740335046396
137,HL_to_HH,short,532,533,543,2024-12-09 21:02:00,68.17,68.11,0.0600000000000022,2024-12-10 02:09:00,68.06,2024-12-09 21:28:00,68.11,stop,26.0,68.1392,68.1224,68.156,80.82259664953607,1347.0432774922167,80.82259664953607,10000.0,11998.562931695931
138,LH_to_LL,long,535,536,538,2024-12-09 21:09:00,68.26,68.27,0.0099999999999909,2024-12-09 22:27:00,68.03,2024-12-09 22:27:00,68.03,target,78.0,68.24000000000001,68.2232,68.25680000000001,80.82259664953607,8082.259664960958,-1858.9197229410524,10000.0,10139.643208754878
139,LH_to_LL,long,537,538,540,2024-12-09 22:32:00,68.13,68.26,0.1300000000000096,2024-12-10 01:04:00,67.91,2024-12-10 01:04:00,67.91,target,152.0,68.1392,68.1224,68.156,98.60356791245124,758.4889839418762,-166.8675764672119,10000.0,9972.775632287667
141,HL_to_HH,short,542,543,545,2024-12-10 02:19:00,68.03,67.99,0.0400000000000062,2024-12-10 03:24:00,68.32,2024-12-10 02:23:00,67.99,stop,4.0,68.0048,67.988,68.0216,100.27224367712336,2506.8060919276923,100.27224367712336,10000.0,10073.04787596479
140,LH_to_LL,long,539,540,544,2024-12-10 01:06:00,67.94,68.13,0.1899999999999977,2024-12-10 02:42:00,67.97,2024-12-10 02:42:00,67.97,target,96.0,67.9376,67.9208,67.9544,100.27224367712336,527.7486509322345,15.832459527967636,10000.0,10088.880335492759
